"","x","y"
"110",-0.0574413301533791,-0.0648826597945307
"111",-0.057888543748879,-0.0657770869855306
"112",-0.058335757344379,-0.0666715141765305
"113",-0.0587829709398789,-0.0675659413675304
"114",-0.0592301845353789,-0.0684603685585304
"115",-0.0596773981308788,-0.0693547957495303
"116",-0.0601246117263788,-0.0702492229405302
"117",-0.0605718253218788,-0.0711436501315301
"118",-0.0610190389173787,-0.07203807732253
"119",-0.0614662525128787,-0.0729325045135299
"120",-0.0619134661083786,-0.0738269317045298
"121",-0.0623606797038786,-0.0747213588955297
"122",-0.0628078932993785,-0.0756157860865297
"123",-0.0632551068948785,-0.0765102132775296
"124",-0.0637023204903785,-0.0774046404685295
"125",-0.0641495340858784,-0.0782990676595294
"126",-0.0645967476813784,-0.0791934948505293
"127",-0.0650439612768783,-0.0800879220415292
"128",-0.0654911748723783,-0.0809823492325291
"129",-0.0659383884678782,-0.0818767764235291
"130",-0.0663856020633782,-0.082771203614529
"131",-0.0668328156588782,-0.0836656308055289
"132",-0.0672800292543781,-0.0845600579965288
"133",-0.0677272428498781,-0.0854544851875287
"134",-0.068174456445378,-0.0863489123785286
"135",-0.068621670040878,-0.0872433395695285
"136",-0.0690688836363779,-0.0881377667605285
"137",-0.0695160972318779,-0.0890321939515284
"138",-0.0699633108273778,-0.0899266211425283
"139",-0.0704105244228778,-0.0908210483335282
"140",-0.0708577380183778,-0.0917154755245281
"141",-0.0713049516138777,-0.092609902715528
"142",-0.0717521652093777,-0.0935043299065279
"143",-0.0721993788048776,-0.0943987570975278
"144",-0.0726465924003776,-0.0952931842885278
"145",-0.0730938059958775,-0.0961876114795277
"146",-0.0735410195913775,-0.0970820386705276
"147",-0.0739882331868775,-0.0979764658615275
"148",-0.0744354467823774,-0.0988708930525274
"149",-0.0748826603778774,-0.0997653202435273
"150",-0.0753298739733773,-0.100659747434527
"151",-0.0757770875688773,-0.101554174625527
"152",-0.0762243011643772,-0.102448601816527
"153",-0.0766715147598772,-0.103343029007527
"154",-0.0771187283553772,-0.104237456198527
"155",-0.0775659419508771,-0.105131883389527
"156",-0.0780131555463771,-0.106026310580527
"157",-0.078460369141877,-0.106920737771527
"158",-0.078907582737377,-0.107815164962527
"159",-0.0793547963328769,-0.108709592153526
"160",-0.0798020099283769,-0.109604019344526
"161",-0.0803101831662834,-0.110465274219854
"162",-0.0808648833595283,-0.111297324516179
"163",-0.0814195835527731,-0.112129374812504
"164",-0.0819742837460179,-0.112961425108828
"165",-0.0825289839392627,-0.113793475405153
"166",-0.0830836841325075,-0.114625525701478
"167",-0.0836383843257523,-0.115457575997803
"168",-0.0841930845189972,-0.116289626294127
"169",-0.084747784712242,-0.117121676590452
"170",-0.0853024849054868,-0.117953726886777
"171",-0.0858571850987316,-0.118785777183102
"172",-0.0864118852919764,-0.119617827479427
"173",-0.0869665854852212,-0.120449877775751
"174",-0.087521285678466,-0.121281928072076
"175",-0.0880759858717109,-0.122113978368401
"176",-0.0886306860649557,-0.122946028664726
"177",-0.0891853862582005,-0.123778078961051
"178",-0.0897400864514453,-0.124610129257375
"179",-0.0902947866446901,-0.1254421795537
"180",-0.0908494868379349,-0.126274229850025
"181",-0.0914041870311798,-0.12710628014635
"182",-0.0919588872244246,-0.127938330442674
"183",-0.0925135874176694,-0.128770380738999
"184",-0.0930682876109142,-0.129602431035324
"185",-0.093622987804159,-0.130434481331649
"186",-0.0941776879974038,-0.131266531627974
"187",-0.0947323881906487,-0.132098581924298
"188",-0.0952870883838935,-0.132930632220623
"189",-0.0958417885771383,-0.133762682516948
"190",-0.0963964887703831,-0.134594732813273
"191",-0.0969511889636279,-0.135426783109598
"192",-0.0975058891568727,-0.136258833405922
"193",-0.0980605893501175,-0.137090883702247
"194",-0.0986152895433624,-0.137922933998572
"195",-0.0991699897366072,-0.138754984294897
"196",-0.099724689929852,-0.139587034591221
"197",-0.100481451603547,-0.140240725473234
"198",-0.101375878798191,-0.140687939061446
"199",-0.102270305992835,-0.141135152649657
"200",-0.103164733187479,-0.141582366237868
"201",-0.104059160382124,-0.142029579826079
"202",-0.104953587576768,-0.14247679341429
"203",-0.105848014771412,-0.142924007002502
"204",-0.106742441966057,-0.143371220590713
"205",-0.107636869160701,-0.143818434178924
"206",-0.108531296355345,-0.144265647767135
"207",-0.109425723549989,-0.144712861355347
"208",-0.110320150744634,-0.145160074943558
"209",-0.111214577939278,-0.145607288531769
"210",-0.112109005133922,-0.14605450211998
"211",-0.113003432328567,-0.146501715708191
"212",-0.113897859523211,-0.146948929296403
"213",-0.114792286717855,-0.147396142884614
"214",-0.1156867139125,-0.147843356472825
"215",-0.116581141107144,-0.148290570061036
"216",-0.117475568301788,-0.148737783649247
"217",-0.118369995496432,-0.149184997237459
"218",-0.119264422691077,-0.14963221082567
"219",-0.120158849885721,-0.150079424413881
"220",-0.121053277080365,-0.150526638002092
"221",-0.12194770427501,-0.150973851590303
