"","x","y"
"98",0.0970000000000001,0
"99",0.0980000000000001,0
"100",0.0990000000000001,0
"101",0.1,0
"102",0.101,0
"103",0.102,0
"104",0.103,0
"105",0.104,0
"106",0.105,0
"107",0.106,0
"108",0.107,0
"109",0.108,0
"110",0.109,0
"111",0.11,0
"112",0.111,0
"113",0.112,0
"114",0.113,0
"115",0.114,0
"116",0.115,0
"117",0.116,0
"118",0.117,0
"119",0.118,0
"120",0.119,0
"121",0.12,0
"122",0.121,0
"123",0.122,0
"124",0.123,0
"125",0.124,0
"126",0.125,0
"127",0.126,0
"128",0.127,0
"129",0.128,0
"130",0.129,0
"131",0.13,0
"132",0.131,0
"133",0.132,0
"134",0.133,0
"135",0.134,0
"136",0.135,0
"137",0.136,0
"138",0.137,0
"139",0.138,0
"140",0.139,0
"141",0.14,0
"142",0.140992277877262,0.000124034730204097
"143",0.141984555754309,0.000248069462127543
"144",0.142976833631356,0.000372104194050991
"145",0.143969111508403,0.000496138925974438
"146",0.14496138938545,0.000620173657897885
"147",0.145953667262496,0.000744208389821332
"148",0.146945945139543,0.00086824312174478
"149",0.14793822301659,0.000992277853668227
"150",0.148930500893637,0.00111631258559167
"151",0.149922778770684,0.00124034731751512
"152",0.150915056647731,0.00136438204943857
"153",0.151907334524778,0.00148841678136202
"154",0.152899612401825,0.00161245151328546
"155",0.153891890278872,0.00173648624520891
"156",0.154884168155918,0.00186052097713236
"157",0.155876446032965,0.0019845557090558
"158",0.156868723910012,0.00210859044097925
"159",0.157861001787059,0.0022326251729027
"160",0.158853279664106,0.00235665990482615
"161",0.159845557541153,0.00248069463674959
"162",0.1608378354182,0.00260472936867304
"163",0.161830113295247,0.00272876410059649
"164",0.162822391172294,0.00285279883251994
"165",0.16381466904934,0.00297683356444338
"166",0.164806946926387,0.00310086829636683
"167",0.165799224803434,0.00322490302829028
"168",0.166791502680481,0.00334893776021372
"169",0.167783780557528,0.00347297249213717
"170",0.168776058434575,0.00359700722406062
"171",0.169768336311622,0.00372104195598407
"172",0.170760614188669,0.00384507668790751
"173",0.171752892065716,0.00396911141983096
"174",0.172745169942763,0.00409314615175441
"175",0.173737447819809,0.00421718088367785
"176",0.174729725696856,0.0043412156156013
"177",0.175722003573903,0.00446525034752475
"178",0.17671428145095,0.00458928507944819
"179",0.177706559327997,0.00471331981137164
"180",0.178698837205044,0.00483735454329509
"181",0.179691115082091,0.00496138927521853
"182",0.180683392959138,0.00508542400714198
"183",0.181675670836184,0.00520945873906543
"184",0.182667948713231,0.00533349347098887
"185",0.183660226590278,0.00545752820291232
"186",0.184652504467325,0.00558156293483576
"187",0.185644782344372,0.00570559766675921
"188",0.186637060221419,0.00582963239868266
"189",0.187629338098466,0.00595366713060611
"190",0.188621615975513,0.00607770186252955
"191",0.18961389385256,0.006201736594453
"192",0.190606171729607,0.00632577132637645
"193",0.191598449606653,0.00644980605829989
"194",0.1925907274837,0.00657384079022334
"195",0.193583005360747,0.00669787552214679
"196",0.194575283237794,0.00682191025407024
"197",0.195567561114841,0.00694594498599368
"198",0.196559838991888,0.00706997971791713
"199",0.197552116868935,0.00719401444984058
"200",0.198544394745982,0.00731804918176402
"201",0.199536672623029,0.00744208391368747
"202",0.200528950500075,0.00756611864561092
"203",0.201521228377122,0.00769015337753436
"204",0.202513506254169,0.00781418810945781
"205",0.203505784131216,0.00793822284138126
"206",0.204498062008263,0.0080622575733047
"207",0.20549033988531,0.00818629230522815
"208",0.206482617762357,0.0083103270371516
"209",0.207474895639404,0.00843436176907504
"210",0.20846717351645,0.00855839650099849
"211",0.209459451393497,0.00868243123292193
"212",0.210451729270544,0.00880646596484538
"213",0.211444007147591,0.00893050069676883
"214",0.212436285024638,0.00905453542869227
"215",0.213428562901685,0.00917857016061572
"216",0.214420840778732,0.00930260489253917
"217",0.215413118655779,0.00942663962446261
"218",0.216405396532826,0.00955067435638605
"219",0.217397674409872,0.0096747090883095
"220",0.218389952286919,0.00979874382023295
"221",0.219382230163966,0.00992277855215639
"222",0.220362426134052,0.0101208084999594
"223",0.221311109429894,0.0104370362726027
"224",0.222259792725736,0.010753264045246
"225",0.223208476021577,0.0110694918178893
"226",0.224157159317419,0.0113857195905327
"227",0.225105842613261,0.011701947363176
"228",0.226054525909103,0.0120181751358193
"229",0.227003209204944,0.0123344029084626
"230",0.227951892500786,0.0126506306811059
