"","condition","mean_speed","sd_speed","sinuosity","sinuosity_redisc","sinuosity_smooth_redisc","straightness_DL_ratio","straightness_r","Emax_a","Emax_b","Emax_b_100deg","Emax_a_unrediscretised","Emax_b_unrediscretised","ESqDiffusionDistance","EDiffusionDistance","TrajExpDrift","TrajExpDriftDist","TrajNestNearest","min_deltaS","min_C","filename"
"11","FVNoIce",0.203477941520511,0.0617460077338066,3.37655880909943,1.78239885768918,1.81467280547697,0.975729801006051,0.972255740584218,30.9767735504985,0.61953547100997,-0.000346014493661393,21.0067746727449,0.170976610735813,0.00615370587096022,0.0695205673821802,0.968727301445195,0.0774981841156156,11.0054269393607,NA,NA,"2014-12-09_ovalFVNoIce_blue_25fps_Escape.csv"
"12","FVNoIce",0.0310469542071364,0.0560931253919068,16.6909948609939,3.3279597864368,3.27412252017444,0.904389587037456,0.895519324186986,8.52908747062767,0.170581749412553,0.0151503415068672,3.64866456035502,0.00453119686090176,0.00560359185659327,0.0663404156800155,0.895058157133893,0.0716046525707114,10.908446352812,NA,NA,"2014-12-09_ovalFVNoIce_redRed_25fps.csv"
"13","FVNoIce",0.0455139846580129,0.0373133997898516,10.3688151726352,2.41071379033657,2.53578515741834,0.959560160273108,0.949420611373685,16.7071401307752,0.334142802615505,0.469414137670117,9.38196841471996,0.017080430659581,0.0059608181866663,0.0684223330218564,0.943525606472048,0.0754820485177638,10.8032007087738,NA,NA,"2014-12-09_ovalFVNoIce_yellow_25fps.csv"
"14","FVIce",0.00463214267594792,0.00813405655243574,42.3012648069712,8.20032636675703,7.90289713295257,0.55619864304052,0.573515484128308,0.987091616751945,0.0197418323350389,0.0140571218998252,3.99050500277996,0.000739383540878428,0.00328508843899315,0.0507947086474902,0.496751940590149,0.0397401552472119,10.8272229335732,NA,NA,"2013-11-27_ovalFVIce_ant1_oval_cool_25fps.csv"
"15","FVIce",0.00982502106880779,0.00887014262969169,31.9027623963771,8.01712308385595,8.00602853340009,0.798264336965385,0.517254168901465,1.05583270885649,0.0211166541771298,0.0457932328384041,4.0925799756581,0.00160838737946487,0.0033629821525994,0.0513933848485383,0.513579098293349,0.0410863278634679,10.8250202510167,1,0.559583563243228,"2013-12-03_ovalFVIce_092050-ant1_cooled_25fps.csv"
"16","FVIce",0.00870743242419479,0.0107018456468934,31.2945223145462,5.79877736182636,4.09876352204594,0.832981828151582,0.715651921031093,2.4739052696707,0.0494781053934139,0.0697162549171259,4.60803661285001,0.00160496669658428,0.00440948831153984,0.0588489933763179,0.712139531054399,0.0569711624843519,10.8148444936633,NA,NA,"2013-12-03_ovalFVIce_092752_ant2_cooled_25fps.csv"
"17","FVIce",0.0386633100284807,0.0434490683606792,10.5088631259816,0.995698559353807,0.986208602534694,0.941052006662527,0.996114898709653,100.365870853561,2.00731741707123,0.0294167168780075,10.5786291267723,0.0163601927041885,0.00632146649776687,0.0704618207068523,0.99013474662054,0.0792107797296432,10.8826503035305,NA,NA,"2013-12-03_ovalFVIce_093907_ant3_cooled_25fps.csv"
"18","FVIce",0.0103022797863879,0.0102857689858865,27.9784938777462,6.15894096855358,5.67908672859907,0.766281506381974,0.683978262603153,2.13625803800495,0.0427251607600991,0.0641911151811114,5.20154868021864,0.00214351239304517,0.00422992101225734,0.0576382875729596,0.681148684871566,0.0544918947897253,10.7986170559373,NA,NA,"2013-12-04_ovalFVIce_083837_ant1_cooled_25fps.csv"
"19","FVIce",0.013256167146793,0.0138397477605835,23.7904793261462,7.36743417351249,7.38974619569344,0.754235846948701,0.577767723059157,1.34233020145891,0.0268466040291783,0.0612984491411442,5.61917121828411,0.00297954691584091,0.00365140759430974,0.0535519263741872,0.573074710227809,0.0458459768182247,10.8015117633447,NA,NA,"2013-12-04_ovalFVIce_084432_ant2_cooled_25fps.csv"
"20","FVIce",0.022295309191383,0.0561848227198772,18.3028688436784,1.25274732413841,1.18551819917176,0.936611502001426,0.990054301343351,63.2195987701613,1.26439197540323,0.00985537012742419,3.01922762442823,0.00269258453623169,0.00627639431186635,0.0702101742292243,0.984428429651531,0.0787542743721225,10.9390363722813,NA,NA,"2013-12-04_ovalFVIce_090313_ant4_cooled_25fps.csv"
"21","FVIce",0.00497490838834078,0.00827691422606352,42.6491373461634,8.61589926208446,8.57151110045975,0.763399453997133,0.462977308667007,0.84709670851536,0.0169419341703072,0.0613873873231638,3.64140672394215,0.000724626594252012,0.00311434530379144,0.0494570630121044,0.4586098305574,0.036688786444592,10.8317695077166,NA,NA,"2013-12-04_ovalFVIce_090753_ant5_cooled_25fps.csv"
"22","FVIce",0.019066355915321,0.0114514673017379,12.6120068729858,10.7660581825951,10.2479965862255,0.373848839325601,0.293107477202043,0.362753152634139,0.00725506305268278,-0.00230794399851795,15.8063397485744,0.0120547719745922,0.00236732129847724,0.0431194828354386,0.266191387583991,0.0212953110067192,10.9848553956559,NA,NA,"2014-12-02_ovalFVIce_green_25fps.csv"
"23","FVIce",0.0415907250887388,0.0482488528600247,7.7531648216697,3.52537781265272,3.58126114080288,0.933018389422841,0.885441244195877,7.54616003355591,0.150923200671118,0.102008209751378,18.8264307696306,0.0313201962616752,0.00551739226982928,0.065828183595381,0.882988383546111,0.0706390706836889,10.8226574992921,NA,NA,"2014-12-02_ovalFVIce_red_25fps.csv"
