"","condition","noiseSyn","noiseRot","MemManipType","MemDegradation","mean_speed","sd_speed","sinuosity","sinuosity_redisc","sinuosity_smooth_redisc","straightness_DL_ratio","straightness_r","Emax_a","Emax_b","Emax_b_100deg","Emax_a_unrediscretised","Emax_b_unrediscretised","ESqDiffusionDistance","EDiffusionDistance","TrajExpDrift","TrajExpDriftDist","TrajNestNearest","min_deltaS","min_C","filename"
"3690","FVIce","0.1","7","Multiply","0.6",0.139205509267264,0.113579773723603,11.4813255569455,4.94403976187498,4.85284241188002,0.197971152460077,0.788228656322847,3.59106227324169,0.0718212454648338,-0.000135591572941322,1.89190980018122,0.0105345706888782,0.00483898948746145,0.061648466778597,0.782185485518603,0.0625748388414882,10.9382350177301,NA,NA,"with_Pontin_Holonomic_noiseSyn0.1_noiseRot7.0_noiseSlope9.0_route_FVIcex0.6_1090_platformReleases.csv"
"3691","FVIce","0.1","7","Multiply","0.6",0.111538132001862,0.105034307282183,16.910018166964,2.36359460977458,2.45501386989101,0.920586938620974,0.945706322924985,17.4000406902897,0.348000813805795,-0.00548327059303973,0.624294145369514,0.00278530411176858,0.00597690462505257,0.0685145963668911,0.945652294099125,0.07565218352793,11,NA,NA,"with_Pontin_Holonomic_noiseSyn0.1_noiseRot7.0_noiseSlope9.0_route_FVIcex0.6_1091_platformReleases.csv"
"3692","FVIce","0.1","7","Multiply","0.6",0.115464119240714,0.0919400570289664,5.6760516158138,4.1976562926068,4.07742437203116,0.805284088366131,0.839063169183948,5.17526636061663,0.103505327212333,-0.00171073966235584,12.6239407734582,0.0583044881101717,0.00520600561466265,0.0639436255493294,0.838063665337969,0.0670450932270375,10.9800726294305,NA,NA,"with_Pontin_Holonomic_noiseSyn0.1_noiseRot7.0_noiseSlope9.0_route_FVIcex0.6_1092_platformReleases.csv"
"3693","FVIce","0.1","7","Multiply","0.6",0.108605637312865,0.109984193728709,14.1116102383433,4.48884074861549,4.37985881854488,0.313299151870185,0.817325718245721,4.46285519602966,0.0892571039205933,-0.00395296827158815,1.29910196446,0.00564359187138293,0.00506469290290377,0.0630698065964429,0.816945541458469,0.0653556433166775,10.9245465559651,NA,NA,"with_Pontin_Holonomic_noiseSyn0.1_noiseRot7.0_noiseSlope9.0_route_FVIcex0.6_1093_platformReleases.csv"
"3694","FVIce","0.1","7","Multiply","0.6",0.131638593400406,0.113286697253582,16.628805759273,2.55414439049253,2.56289834340391,0.887172704122429,0.947006398767949,14.8288335999976,0.296576671999953,0.0475218594554341,0.503307287474173,0.00265018653485096,0.00591035624288492,0.0681320991764268,0.936824151085892,0.0749459320868714,10.840450063507,NA,NA,"with_Pontin_Holonomic_noiseSyn0.1_noiseRot7.0_noiseSlope9.0_route_FVIcex0.6_1094_platformReleases.csv"
"3695","FVIce","0.1","7","Multiply","0.6",0.139637967153509,0.111015700523899,9.99778044097396,3.95759384583733,3.95801922850214,0.260168366972806,0.857089468834088,5.88465678157783,0.117693135631557,0.00443462184042354,2.76624556524825,0.015450916295147,0.00531993510868147,0.0646395178180657,0.854749476738502,0.0683799581390802,10.8090039107243,NA,NA,"with_Pontin_Holonomic_noiseSyn0.1_noiseRot7.0_noiseSlope9.0_route_FVIcex0.6_1095_platformReleases.csv"
"3696","FVIce","0.1","7","Multiply","0.6",0.110078065834572,0.11432224532188,19.4076378991095,0.831211340038489,0.925979739071504,0.98661610276076,0.995706038395816,144.236171559827,2.88472343119654,0.0338218813156576,0.166635496552651,0.000733716526395968,0.00634510667354934,0.0705934496108991,0.993114662902085,0.0794491730321668,10.8712087887884,NA,NA,"with_Pontin_Holonomic_noiseSyn0.1_noiseRot7.0_noiseSlope9.0_route_FVIcex0.6_1096_platformReleases.csv"
"3697","FVIce","0.1","7","Multiply","0.6",0.119032923311634,0.0974721911826833,15.2296217044373,4.34302208594128,4.35859247702941,0.741095660570333,0.833483844158327,4.80170945952278,0.0960341891904555,0.0491375289969417,0.97575396601208,0.00464587388029354,0.00513583548353771,0.0635112254352092,0.827637008199605,0.0662109606559684,10.8100467083086,NA,NA,"with_Pontin_Holonomic_noiseSyn0.1_noiseRot7.0_noiseSlope9.0_route_FVIcex0.6_1097_platformReleases.csv"
"3698","FVIce","0.1","7","Multiply","0.6",0.105806665306798,0.0922922813103755,14.3820340871996,6.35869032961553,6.3220811303545,0.457540978864847,0.663835113846927,1.97323081879834,0.0394646163759668,0.0133513697698772,1.40420253530695,0.00594295950704719,0.00413137060484477,0.0569628904231455,0.663665533910967,0.0530932427128773,10.814276414299,NA,NA,"with_Pontin_Holonomic_noiseSyn0.1_noiseRot7.0_noiseSlope9.0_route_FVIcex0.6_1098_platformReleases.csv"
"3699","FVIce","0.1","7","Multiply","0.6",0.124855542448906,0.107094380738646,13.4722482938011,3.33642134710508,3.42562759067514,0.763738039475878,0.902261660422734,8.48334786910801,0.16966695738216,0.0329957748500986,1.33852432081896,0.00668488720627621,0.00559995516815498,0.0663188849738668,0.894552006970292,0.0715641605576233,10.8362807509825,NA,NA,"with_Pontin_Holonomic_noiseSyn0.1_noiseRot7.0_noiseSlope9.0_route_FVIcex0.6_1099_platformReleases.csv"
